decimal_date,name,value
1958.2027,co2,315.71
1958.2027,smooth,314.44
1958.2877,co2,317.45
1958.2877,smooth,315.16
1958.3699,co2,317.51
1958.3699,smooth,314.69
1958.4548,co2,317.27
1958.4548,smooth,315.15
1958.537,co2,315.87
1958.537,smooth,315.2
1958.6219,co2,314.93
1958.6219,smooth,316.21
1958.7068,co2,313.21
1958.7068,smooth,316.11
1958.789,co2,312.42
1958.789,smooth,315.41
1958.874,co2,313.33
1958.874,smooth,315.21
1958.9562,co2,314.67
1958.9562,smooth,315.43
1959.0411,co2,315.58
1959.0411,smooth,315.52
1959.126,co2,316.49
1959.126,smooth,315.84
1959.2027,co2,316.65
1959.2027,smooth,315.37
1959.2877,co2,317.72
1959.2877,smooth,315.42
1959.3699,co2,318.29
1959.3699,smooth,315.46
1959.4548,co2,318.15
1959.4548,smooth,316.0
1959.537,co2,316.54
1959.537,smooth,315.87
1959.6219,co2,314.8
1959.6219,smooth,316.09
1959.7068,co2,313.84
1959.7068,smooth,316.75
1959.789,co2,313.33
1959.789,smooth,316.34
1959.874,co2,314.81
1959.874,smooth,316.69
1959.9562,co2,315.58
1959.9562,smooth,316.35
1960.041,co2,316.43
1960.041,smooth,316.38
1960.1257,co2,316.98
1960.1257,smooth,316.33
1960.2049,co2,317.58
1960.2049,smooth,316.27
1960.2896,co2,319.03
1960.2896,smooth,316.7
1960.3716,co2,320.03
1960.3716,smooth,317.19
1960.4563,co2,319.58
1960.4563,smooth,317.45
1960.5383,co2,318.18
1960.5383,smooth,317.54
1960.623,co2,315.9
1960.623,smooth,317.22
1960.7077,co2,314.17
1960.7077,smooth,317.1
1960.7896,co2,313.83
1960.7896,smooth,316.85
1960.8743,co2,315.0
1960.8743,smooth,316.89
1960.9563,co2,316.19
1960.9563,smooth,316.96
1961.0411,co2,316.89
1961.0411,smooth,316.84
1961.126,co2,317.7
1961.126,smooth,317.05
1961.2027,co2,318.54
1961.2027,smooth,317.25
1961.2877,co2,319.48
1961.2877,smooth,317.16
1961.3699,co2,320.58
1961.3699,smooth,317.73
1961.4548,co2,319.77
1961.4548,smooth,317.61
1961.537,co2,318.56
1961.537,smooth,317.89
1961.6219,co2,316.79
1961.6219,smooth,318.09
1961.7068,co2,314.99
1961.7068,smooth,317.92
1961.789,co2,315.31
1961.789,smooth,318.34
1961.874,co2,316.1
1961.874,smooth,318.0
1961.9562,co2,317.01
1961.9562,smooth,317.78
1962.0411,co2,317.94
1962.0411,smooth,317.89
1962.126,co2,318.55
1962.126,smooth,317.89
1962.2027,co2,319.68
1962.2027,smooth,318.39
1962.2877,co2,320.57
1962.2877,smooth,318.24
1962.3699,co2,321.02
1962.3699,smooth,318.16
1962.4548,co2,320.62
1962.4548,smooth,318.45
1962.537,co2,319.61
1962.537,smooth,318.94
1962.6219,co2,317.4
1962.6219,smooth,318.71
1962.7068,co2,316.24
1962.7068,smooth,319.18
1962.789,co2,315.42
1962.789,smooth,318.46
1962.874,co2,316.69
1962.874,smooth,318.59
1962.9562,co2,317.7
1962.9562,smooth,318.47
1963.0411,co2,318.74
1963.0411,smooth,318.69
1963.126,co2,319.07
1963.126,smooth,318.41
1963.2027,co2,319.86
1963.2027,smooth,318.57
1963.2877,co2,321.38
1963.2877,smooth,319.05
1963.3699,co2,322.24
1963.3699,smooth,319.38
1963.4548,co2,321.49
1963.4548,smooth,319.31
1963.537,co2,319.74
1963.537,smooth,319.07
1963.6219,co2,317.77
1963.6219,smooth,319.07
1963.7068,co2,316.21
1963.7068,smooth,319.16
1963.789,co2,315.99
1963.789,smooth,319.03
1963.874,co2,317.07
1963.874,smooth,318.98
1963.9562,co2,318.35
1963.9562,smooth,319.13
1964.041,co2,319.57
1964.041,smooth,319.52
1964.1257,co2,320.04
1964.1257,smooth,319.37
1964.2049,co2,320.75
1964.2049,smooth,319.41
1964.2896,co2,321.84
1964.2896,smooth,319.46
1964.3716,co2,322.25
1964.3716,smooth,319.37
1964.4563,co2,321.89
1964.4563,smooth,319.73
1964.5383,co2,320.44
1964.5383,smooth,319.79
1964.623,co2,318.69
1964.623,smooth,320.03
1964.7077,co2,316.71
1964.7077,smooth,319.67
1964.7896,co2,316.87
1964.7896,smooth,319.93
1964.8743,co2,317.68
1964.8743,smooth,319.59
1964.9563,co2,318.71
1964.9563,smooth,319.49
1965.0411,co2,319.44
1965.0411,smooth,319.38
1965.126,co2,320.44
1965.126,smooth,319.79
1965.2027,co2,320.89
1965.2027,smooth,319.59
1965.2877,co2,322.14
1965.2877,smooth,319.79
1965.3699,co2,322.17
1965.3699,smooth,319.28
1965.4548,co2,321.87
1965.4548,smooth,319.68
1965.537,co2,321.21
1965.537,smooth,320.53
1965.6219,co2,318.87
1965.6219,smooth,320.18
1965.7068,co2,317.82
1965.7068,smooth,320.78
1965.789,co2,317.3
1965.789,smooth,320.37
1965.874,co2,318.87
1965.874,smooth,320.79
1965.9562,co2,319.42
1965.9562,smooth,320.2
1966.0411,co2,320.62
1966.0411,smooth,320.57
1966.126,co2,321.6
1966.126,smooth,320.94
1966.2027,co2,322.39
1966.2027,smooth,321.08
1966.2877,co2,323.7
1966.2877,smooth,321.34
1966.3699,co2,324.08
1966.3699,smooth,321.18
1966.4548,co2,323.75
1966.4548,smooth,321.55
1966.537,co2,322.37
1966.537,smooth,321.69
1966.6219,co2,320.36
1966.6219,smooth,321.68
1966.7068,co2,318.64
1966.7068,smooth,321.61
1966.789,co2,318.1
1966.789,smooth,321.18
1966.874,co2,319.78
1966.874,smooth,321.71
1966.9562,co2,321.02
1966.9562,smooth,321.81
1967.0411,co2,322.33
1967.0411,smooth,322.28
1967.126,co2,322.5
1967.126,smooth,321.83
1967.2027,co2,323.03
1967.2027,smooth,321.72
1967.2877,co2,324.41
1967.2877,smooth,322.05
1967.3699,co2,325.0
1967.3699,smooth,322.09
1967.4548,co2,324.09
1967.4548,smooth,321.89
1967.537,co2,322.54
1967.537,smooth,321.86
1967.6219,co2,320.92
1967.6219,smooth,322.24
1967.7068,co2,319.25
1967.7068,smooth,322.24
1967.789,co2,319.39
1967.789,smooth,322.48
1967.874,co2,320.73
1967.874,smooth,322.66
1967.9562,co2,321.96
1967.9562,smooth,322.74
1968.041,co2,322.57
1968.041,smooth,322.51
1968.1257,co2,323.15
1968.1257,smooth,322.48
1968.2049,co2,323.89
1968.2049,smooth,322.55
1968.2896,co2,325.02
1968.2896,smooth,322.63
1968.3716,co2,325.57
1968.3716,smooth,322.66
1968.4563,co2,325.36
1968.4563,smooth,323.17
1968.5383,co2,324.14
1968.5383,smooth,323.48
1968.623,co2,322.11
1968.623,smooth,323.46
1968.7077,co2,320.33
1968.7077,smooth,323.33
1968.7896,co2,320.25
1968.7896,smooth,323.34
1968.8743,co2,321.32
1968.8743,smooth,323.26
1968.9563,co2,322.89
1968.9563,smooth,323.68
1969.0411,co2,324.0
1969.0411,smooth,323.95
1969.126,co2,324.41
1969.126,smooth,323.75
1969.2027,co2,325.63
1969.2027,smooth,324.31
1969.2877,co2,326.66
1969.2877,smooth,324.28
1969.3699,co2,327.38
1969.3699,smooth,324.46
1969.4548,co2,326.71
