event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,external-temperature,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1930863794,true,2005-02-17 05:05:00.000,31.76642049,-24.53730062,,24.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863795,true,2005-02-17 06:08:00.000,31.76442057,-24.53931071,,29.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863796,true,2005-02-17 07:05:00.000,31.76114095,-24.54798991,,35.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863797,true,2005-02-17 08:05:00.000,31.76079915,-24.54702962,,37.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863798,true,2005-02-17 09:05:00.000,31.75982056,-24.5468099,,38.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863799,true,2005-02-17 10:05:00.000,31.75968018,-24.54679972,,39.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863800,true,2005-02-17 11:05:00.000,31.76010946,-24.54682007,,40.0,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863801,true,2005-02-17 12:05:00.000,31.76019084,-24.54685059,,38.1,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863802,true,2005-02-17 13:05:00.000,31.76015015,-24.54686076,,38.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863803,true,2005-02-17 14:05:00.000,31.76317952,-24.54720052,,38.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863804,true,2005-02-17 15:05:00.000,31.7651001,-24.54508057,,40.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863805,true,2005-02-17 16:05:00.000,31.77801921,-24.54230957,,36.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863806,true,2005-02-17 17:05:00.000,31.78675944,-24.53743083,,31.0,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863807,true,2005-02-17 18:05:00.000,31.78705037,-24.53520915,,28.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863808,true,2005-02-17 19:05:00.000,31.78388062,-24.53413086,,28.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863809,true,2005-02-17 20:05:00.000,31.78398031,-24.53410034,,27.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863810,true,2005-02-17 21:05:00.000,31.78395996,-24.53420003,,26.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863811,true,2005-02-17 22:05:00.000,31.77214966,-24.52788086,,26.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863812,true,2005-02-17 23:05:00.000,31.76939087,-24.52658081,,26.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863813,true,2005-02-18 00:05:00.000,31.75842082,-24.53082072,,26.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863814,true,2005-02-18 01:05:00.000,31.75701904,-24.53140055,,25.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863815,true,2005-02-18 02:05:00.000,31.75704956,-24.53166097,,25.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863816,true,2005-02-18 03:05:00.000,31.75718994,-24.53240967,,25.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863817,true,2005-02-18 04:05:00.000,31.75715942,-24.53245036,,25.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863818,true,2005-02-18 05:05:00.000,31.74597982,-24.53848063,,28.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863819,true,2005-02-18 06:05:00.000,31.74734904,-24.54274089,,34.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863820,true,2005-02-18 07:05:00.000,31.74603068,-24.54294027,,35.1,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863821,true,2005-02-18 08:05:00.000,31.74616089,-24.54302979,,33.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863822,true,2005-02-18 09:05:00.000,31.74621989,-24.54302979,,35.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863823,true,2005-02-18 10:05:00.000,31.74611003,-24.54310099,,39.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863824,true,2005-02-18 11:05:00.000,31.74618937,-24.5429891,,40.0,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863825,true,2005-02-18 12:05:00.000,31.7461792,-24.54301961,,39.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863826,true,2005-02-18 13:05:00.000,31.74621989,-24.54307048,,40.0,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863827,true,2005-02-18 14:05:00.000,31.74857992,-24.54724935,,41.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863828,true,2005-02-18 15:05:00.000,31.75046997,-24.5519694,,38.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863829,true,2005-02-18 16:04:00.000,31.75468953,-24.54864095,,35.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863830,true,2005-02-18 17:06:00.000,31.76211955,-24.54643962,,32.1,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863831,true,2005-02-18 18:05:00.000,31.76269938,-24.54687907,,29.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863832,true,2005-02-18 19:05:00.000,31.76278076,-24.54687907,,28.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863833,true,2005-02-18 20:05:00.000,31.76274007,-24.54687093,,27.7,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863834,true,2005-02-18 21:05:00.000,31.76927083,-24.54345093,,27.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863835,true,2005-02-18 22:04:00.000,31.77342936,-24.54156087,,27.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863836,true,2005-02-18 23:05:00.000,31.77528076,-24.54046021,,26.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863837,true,2005-02-19 00:05:00.000,31.77550049,-24.54062907,,25.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863838,true,2005-02-19 01:05:00.000,31.77552083,-24.5406901,,25.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863839,true,2005-02-19 02:05:00.000,31.77544963,-24.54041951,,26.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863840,true,2005-02-19 03:05:00.000,31.77375081,-24.53885905,,26.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863841,true,2005-02-19 04:05:00.000,31.76862996,-24.5394694,,26.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863842,true,2005-02-19 05:04:00.000,31.76208089,-24.54263916,,29.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863843,true,2005-02-19 05:08:00.000,31.76105957,-24.54241943,,30.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863844,true,2005-02-19 06:05:00.000,31.75612996,-24.53961995,,32.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863845,true,2005-02-19 07:05:00.000,31.75668945,-24.54168905,,37.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863846,true,2005-02-19 08:05:00.000,31.75898031,-24.54116007,,41.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863847,true,2005-02-19 09:05:00.000,31.7586792,-24.54145101,,39.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863848,true,2005-02-19 10:05:00.000,31.75861003,-24.54142049,,38.1,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863849,true,2005-02-19 11:05:00.000,31.75847982,-24.54145101,,36.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863850,true,2005-02-19 12:04:00.000,31.75861003,-24.54159953,,37.3,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863851,true,2005-02-19 13:05:00.000,31.75853068,-24.5415507,,39.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863852,true,2005-02-19 14:05:00.000,31.75847982,-24.54163005,,38.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863853,true,2005-02-19 15:05:00.000,31.76165975,-24.54590047,,38.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863854,true,2005-02-19 16:05:00.000,31.76929932,-24.54997965,,35.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863855,true,2005-02-19 17:05:00.000,31.77293091,-24.54794922,,32.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863856,true,2005-02-19 18:05:00.000,31.77411906,-24.54648031,,31.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863857,true,2005-02-19 19:05:00.000,31.77419027,-24.546521,,29.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863858,true,2005-02-19 20:04:00.000,31.77426961,-24.5464091,,28.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863859,true,2005-02-19 21:05:00.000,31.77278035,-24.54514974,,28.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863860,true,2005-02-19 22:04:00.000,31.77209066,-24.5450297,,28.1,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863861,true,2005-02-19 23:05:00.000,31.7702006,-24.54664917,,27.7,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863862,true,2005-02-20 00:04:00.000,31.77098999,-24.54679972,,28.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863863,true,2005-02-20 01:05:00.000,31.77088013,-24.5464091,,29.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863864,true,2005-02-20 02:04:00.000,31.7699707,-24.54628092,,29.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863865,true,2005-02-20 03:05:00.000,31.76988932,-24.5463501,,28.8,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863866,true,2005-02-20 04:05:00.000,31.76781006,-24.55142008,,28.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863867,true,2005-02-20 05:04:00.000,31.7646993,-24.54979045,,30.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863868,true,2005-02-20 06:05:00.000,31.76004028,-24.54797974,,33.6,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863869,true,2005-02-20 07:05:00.000,31.75961914,-24.5476298,,21.7,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863870,true,2005-02-20 08:05:00.000,31.759729,-24.54756063,,38.1,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863871,true,2005-02-20 09:04:00.000,31.75972087,-24.54758097,,37.0,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863872,true,2005-02-20 10:05:00.000,31.76065063,-24.54683024,,40.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863873,true,2005-02-20 11:04:00.000,31.76078084,-24.54686076,,39.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863874,true,2005-02-20 12:05:00.000,31.76015015,-24.54650065,,38.9,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863875,true,2005-02-20 13:05:00.000,31.76128947,-24.54627075,,40.4,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863876,true,2005-02-20 14:04:00.000,31.76384074,-24.5461792,,40.0,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863877,true,2005-02-20 15:05:00.000,31.76905924,-24.55078939,,38.5,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863878,true,2005-02-20 16:04:00.000,31.77124023,-24.55166016,,36.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
1930863879,true,2005-02-20 17:05:00.000,31.77620036,-24.55062052,,33.2,,"gps","Syncerus caffer","T8","Queen","Kruger African Buffalo, GPS tracking, South Africa"
