event-id,visible,timestamp,algorithm-marked-outlier,external-temperature,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,WKT
1930863794,true,2005-02-17T05:05:00Z,NA,24.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53730062 31.76642049)
1930863795,true,2005-02-17T06:08:00Z,NA,29.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53931071 31.76442057)
1930863796,true,2005-02-17T07:05:00Z,NA,35.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54798991 31.76114095)
1930863797,true,2005-02-17T08:05:00Z,NA,37.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54702962 31.76079915)
1930863798,true,2005-02-17T09:05:00Z,NA,38.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5468099 31.75982056)
1930863799,true,2005-02-17T10:05:00Z,NA,39.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54679972 31.75968018)
1930863800,true,2005-02-17T11:05:00Z,NA,40,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54682007 31.76010946)
1930863801,true,2005-02-17T12:05:00Z,NA,38.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54685059 31.76019084)
1930863802,true,2005-02-17T13:05:00Z,NA,38.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54686076 31.76015015)
1930863803,true,2005-02-17T14:05:00Z,NA,38.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54720052 31.76317952)
1930863804,true,2005-02-17T15:05:00Z,NA,40.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54508057 31.7651001)
1930863805,true,2005-02-17T16:05:00Z,NA,36.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54230957 31.77801921)
1930863806,true,2005-02-17T17:05:00Z,NA,31,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53743083 31.78675944)
1930863807,true,2005-02-17T18:05:00Z,NA,28.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53520915 31.78705037)
1930863808,true,2005-02-17T19:05:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53413086 31.78388062)
1930863809,true,2005-02-17T20:05:00Z,NA,27.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53410034 31.78398031)
1930863810,true,2005-02-17T21:05:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53420003 31.78395996)
1930863811,true,2005-02-17T22:05:00Z,NA,26.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.52788086 31.77214966)
1930863812,true,2005-02-17T23:05:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.52658081 31.76939087)
1930863813,true,2005-02-18T00:05:00Z,NA,26.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53082072 31.75842082)
1930863814,true,2005-02-18T01:05:00Z,NA,25.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53140055 31.75701904)
1930863815,true,2005-02-18T02:05:00Z,NA,25.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53166097 31.75704956)
1930863816,true,2005-02-18T03:05:00Z,NA,25.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53240967 31.75718994)
1930863817,true,2005-02-18T04:05:00Z,NA,25.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53245036 31.75715942)
1930863818,true,2005-02-18T05:05:00Z,NA,28.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53848063 31.74597982)
1930863819,true,2005-02-18T06:05:00Z,NA,34.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54274089 31.74734904)
1930863820,true,2005-02-18T07:05:00Z,NA,35.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54294027 31.74603068)
1930863821,true,2005-02-18T08:05:00Z,NA,33.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54302979 31.74616089)
1930863822,true,2005-02-18T09:05:00Z,NA,35.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54302979 31.74621989)
1930863823,true,2005-02-18T10:05:00Z,NA,39.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54310099 31.74611003)
1930863824,true,2005-02-18T11:05:00Z,NA,40,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5429891 31.74618937)
1930863825,true,2005-02-18T12:05:00Z,NA,39.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54301961 31.7461792)
1930863826,true,2005-02-18T13:05:00Z,NA,40,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54307048 31.74621989)
1930863827,true,2005-02-18T14:05:00Z,NA,41.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54724935 31.74857992)
1930863828,true,2005-02-18T15:05:00Z,NA,38.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5519694 31.75046997)
1930863829,true,2005-02-18T16:04:00Z,NA,35.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54864095 31.75468953)
1930863830,true,2005-02-18T17:06:00Z,NA,32.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54643962 31.76211955)
1930863831,true,2005-02-18T18:05:00Z,NA,29.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54687907 31.76269938)
1930863832,true,2005-02-18T19:05:00Z,NA,28.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54687907 31.76278076)
1930863833,true,2005-02-18T20:05:00Z,NA,27.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54687093 31.76274007)
1930863834,true,2005-02-18T21:05:00Z,NA,27.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54345093 31.76927083)
1930863835,true,2005-02-18T22:04:00Z,NA,27.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54156087 31.77342936)
1930863836,true,2005-02-18T23:05:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54046021 31.77528076)
1930863837,true,2005-02-19T00:05:00Z,NA,25.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54062907 31.77550049)
1930863838,true,2005-02-19T01:05:00Z,NA,25.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5406901 31.77552083)
1930863839,true,2005-02-19T02:05:00Z,NA,26.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54041951 31.77544963)
1930863840,true,2005-02-19T03:05:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53885905 31.77375081)
1930863841,true,2005-02-19T04:05:00Z,NA,26.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5394694 31.76862996)
1930863842,true,2005-02-19T05:04:00Z,NA,29.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54263916 31.76208089)
1930863843,true,2005-02-19T05:08:00Z,NA,30.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54241943 31.76105957)
1930863844,true,2005-02-19T06:05:00Z,NA,32.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53961995 31.75612996)
1930863845,true,2005-02-19T07:05:00Z,NA,37.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54168905 31.75668945)
1930863846,true,2005-02-19T08:05:00Z,NA,41.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54116007 31.75898031)
1930863847,true,2005-02-19T09:05:00Z,NA,39.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54145101 31.7586792)
1930863848,true,2005-02-19T10:05:00Z,NA,38.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54142049 31.75861003)
1930863849,true,2005-02-19T11:05:00Z,NA,36.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54145101 31.75847982)
1930863850,true,2005-02-19T12:04:00Z,NA,37.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54159953 31.75861003)
1930863851,true,2005-02-19T13:05:00Z,NA,39.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5415507 31.75853068)
1930863852,true,2005-02-19T14:05:00Z,NA,38.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54163005 31.75847982)
1930863853,true,2005-02-19T15:05:00Z,NA,38.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54590047 31.76165975)
1930863854,true,2005-02-19T16:05:00Z,NA,35.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54997965 31.76929932)
1930863855,true,2005-02-19T17:05:00Z,NA,32.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54794922 31.77293091)
1930863856,true,2005-02-19T18:05:00Z,NA,31.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54648031 31.77411906)
1930863857,true,2005-02-19T19:05:00Z,NA,29.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.546521 31.77419027)
1930863858,true,2005-02-19T20:04:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5464091 31.77426961)
1930863859,true,2005-02-19T21:05:00Z,NA,28.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54514974 31.77278035)
1930863860,true,2005-02-19T22:04:00Z,NA,28.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5450297 31.77209066)
1930863861,true,2005-02-19T23:05:00Z,NA,27.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54664917 31.7702006)
1930863862,true,2005-02-20T00:04:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54679972 31.77098999)
1930863863,true,2005-02-20T01:05:00Z,NA,29.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5464091 31.77088013)
1930863864,true,2005-02-20T02:04:00Z,NA,29.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54628092 31.7699707)
1930863865,true,2005-02-20T03:05:00Z,NA,28.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5463501 31.76988932)
1930863866,true,2005-02-20T04:05:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.55142008 31.76781006)
1930863867,true,2005-02-20T05:04:00Z,NA,30.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54979045 31.7646993)
1930863868,true,2005-02-20T06:05:00Z,NA,33.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54797974 31.76004028)
1930863869,true,2005-02-20T07:05:00Z,NA,21.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5476298 31.75961914)
1930863870,true,2005-02-20T08:05:00Z,NA,38.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54756063 31.759729)
1930863871,true,2005-02-20T09:04:00Z,NA,37,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54758097 31.75972087)
1930863872,true,2005-02-20T10:05:00Z,NA,40.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54683024 31.76065063)
1930863873,true,2005-02-20T11:04:00Z,NA,39.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54686076 31.76078084)
1930863874,true,2005-02-20T12:05:00Z,NA,38.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54650065 31.76015015)
1930863875,true,2005-02-20T13:05:00Z,NA,40.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54627075 31.76128947)
1930863876,true,2005-02-20T14:04:00Z,NA,40,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.5461792 31.76384074)
1930863877,true,2005-02-20T15:05:00Z,NA,38.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.55078939 31.76905924)
1930863878,true,2005-02-20T16:04:00Z,NA,36.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.55166016 31.77124023)
1930863879,true,2005-02-20T17:05:00Z,NA,33.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.55062052 31.77620036)
1930863880,true,2005-02-20T18:05:00Z,NA,31.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.55013021 31.77643026)
